Workout,Exercise,Full Reps,Partial Reps,Failure,Muscle Group 1,Muscle Group 2,Muscle Group 3,Notes
Jan 26 (Arms),Triceps Pressdown,N/A,N/A,Yes,Triceps,,,
Jan 26 (Arms),DB Curls,10,0,Yes,Biceps,,,"Lots of cheating on final reps, so considered it failure"
Jan 26 (Arms),DB Curls,7,0,Yes,Biceps,,,"Lots of cheating on final reps, so considered it failure"
Jan 26 (Arms),Long Rope Triceps Pressdown,5,12,Yes,Triceps,,,
Jan 26 (Arms),Long Rope Triceps Pressdown,6,9,Yes,Triceps,,,
Jan 26 (Arms),EZ-Bar Preacher Curl,12,5,Yes,Biceps,,,
Jan 26 (Arms),EZ-Bar Preacher Curl,8,3,Yes,Biceps,,,
Jan 26 (Arms),Triceps Pressdown,0,22,Yes,Triceps,,,
Jan 26 (Arms),Single-Arm Triceps Pressdown,N/A,N/A,Yes,Triceps,,,alternating five reps each leg until done
Jan 26 (Arms),EZ-Bar Preacher Curl,14,2,Yes,Biceps,,,
Jan 26 (Arms),EZ-Bar Preacher Curl,8,4,Yes,Biceps,,,
Jan 26 (Arms),Rope Triceps Pressdown,N/A,N/A,Yes,Triceps,,,
Jan 26 (Arms),Rope Triceps Pressdown,N/A,N/A,Yes,Triceps,,,
Jan 26 (Arms),Straight-Bar Triceps Pressdown (superset),1,10,Yes,Triceps,,,
Jan 26 (Arms),EZ-Bar Curl,12,8,Yes,Biceps,,,
Jan 26 (Arms),EZ-Bar Curl,8,7,Yes,Biceps,,,
Jan 27 (Legs),Seated Hamstring Curls,6,10,Yes,Hamstrings,,,
Jan 27 (Legs),Seated Hamstring Curls,5,8,Yes,Hamstrings,,,
Jan 27 (Legs),Seated Hamstring Curls,4,12,Yes,Hamstrings,,,
Jan 27 (Legs),Seated Hamstring Curls,5,16,Yes,Hamstrings,,,
Jan 27 (Legs),Lying Hamstring Curls,5,12,Yes,Hamstrings,,,
Jan 27 (Legs),Lying Hamstring Curls,5,7,Yes,Hamstrings,,,
Jan 27 (Legs),Single-Leg Leg Extension,9,14,Yes,Quads,,,
Jan 27 (Legs),Single-Leg Leg Extension,7,13,Yes,Quads,,,
Jan 27 (Legs),Single-Leg Leg Press,12,8,Yes,Quads,Glutes,,
Jan 27 (Legs),Single-Leg Leg Press,N/A,N/A,Yes,Quads,Glutes,,alternating five reps each leg until done
Jan 27 (Legs),Barbell Squats,10,0,No,Quads,Glutes,,
Jan 28 (Chest & Shoulders),Incline Barbell Bench Press,12,0,No,Chest,Front Delts,Triceps,Recovering from injury. Went lighter. 0 RIR
Jan 28 (Chest & Shoulders),Incline Barbell Bench Press,9,0,Yes,Chest,Front Delts,Triceps,Spotter pulled up last rep
Jan 28 (Chest & Shoulders),Incline Machine Chest Press,7,1,Yes,Chest,Front Delts,Triceps,
Jan 28 (Chest & Shoulders),Incline Machine Chest Press,4,5,Yes,Chest,Front Delts,Triceps,
Jan 28 (Chest & Shoulders),Incline Machine Chest Press (dropset),0,7,Yes,Chest,Front Delts,Triceps,
Jan 28 (Chest & Shoulders),Bent-Over Cable Chest Press,5,8,Yes,Chest,Front Delts,Triceps,
Jan 28 (Chest & Shoulders),Bent-Over Cable Chest Press,N/A,N/A,Yes,Chest,Front Delts,Triceps,
Jan 28 (Chest & Shoulders),Pec Deck,10,7,Yes,Chest,,,
Jan 28 (Chest & Shoulders),Pec Deck,8,8,Yes,Chest,,,
Jan 28 (Chest & Shoulders),Cable Flyes,13,3,Yes,Chest,,,
Jan 28 (Chest & Shoulders),Bent-Over Cable Flyes,11,5,Yes,Chest,,,
Jan 28 (Chest & Shoulders),Lying Face Pull,N/A,N/A,N/A,Upper Back,Rear Delts,,"Just described his shoulder workout. Side delt volume is a bit of an estimate, based on what he said, but probably within a set or two"
Jan 28 (Chest & Shoulders),Lying Face Pull,N/A,N/A,N/A,Upper Back,Rear Delts,,
Jan 28 (Chest & Shoulders),Lying Face Pull,N/A,N/A,N/A,Upper Back,Rear Delts,,
Jan 28 (Chest & Shoulders),Lying Face Pull,N/A,N/A,N/A,Upper Back,Rear Delts,,
Jan 28 (Chest & Shoulders),Single-Arm D-Handle Face Pull,N/A,N/A,N/A,Upper Back,Rear Delts,,
Jan 28 (Chest & Shoulders),Single-Arm D-Handle Face Pull,N/A,N/A,N/A,Upper Back,Rear Delts,,
Jan 28 (Chest & Shoulders),Single-Arm D-Handle Face Pull,N/A,N/A,N/A,Upper Back,Rear Delts,,
Jan 28 (Chest & Shoulders),DB Lateral Raise,N/A,N/A,N/A,Side Delts,,,
Jan 28 (Chest & Shoulders),DB Lateral Raise,N/A,N/A,N/A,Side Delts,,,
Jan 28 (Chest & Shoulders),DB Lateral Raise,N/A,N/A,N/A,Side Delts,,,
Jan 28 (Chest & Shoulders),DB Lateral Raise,N/A,N/A,N/A,Side Delts,,,
Jan 28 (Chest & Shoulders),DB Lateral Raise,N/A,N/A,N/A,Side Delts,,,
Jan 28 (Chest & Shoulders),DB Lateral Raise,N/A,N/A,N/A,Side Delts,,,
Jan 29 (Back),Lat Pulldown,6,13,Yes,Lats,,,
Jan 29 (Back),Lat Pulldown,4,8,Yes,Lats,,,
Jan 29 (Back),Lat Pulldown (dropset),1,9,Yes,Lats,,,
Jan 29 (Back),Lat Pulldown,5,9,Yes,Lats,,,
Jan 29 (Back),Lat Pulldown (dropset),4,4,Yes,Lats,,,
Jan 29 (Back),Chest-Supported Machine Row,4,11,Yes,Lats,Upper Back,,
Jan 29 (Back),Chest-Supported Machine Row,5,7,Yes,Lats,Upper Back,,
Jan 29 (Back),Chest-Supported Machine Row (dropset),1,7,Yes,Lats,Upper Back,,
Jan 29 (Back),Single-Arm Cable Lat Pullover,10,10,Yes,Lats,,,alternating five reps each leg until done
Jan 29 (Back),Lat Pulldown,5,10,Yes,Lats,,,
Jan 29 (Back),Chest-Supported Machine Row (superset),0,8,Yes,Lats,Upper Back,,
Jan 30 (Arms),D-Handle Triceps Pressdowns,10,11,Yes,Triceps,,,
Jan 30 (Arms),D-Handle Triceps Pressdowns,6,11,Yes,Triceps,,,
Jan 30 (Arms),D-Handle Triceps Pressdowns,5,8,Yes,Triceps,,,
Jan 30 (Arms),Overhead Single-Arm DB Extension,11,6,Yes,Triceps,,,
Jan 30 (Arms),Overhead Single-Arm DB Extension,2,12,Yes,Triceps,,,
Jan 30 (Arms),Machine Triceps Pressdown,10,8,Yes,Triceps,,,
Jan 30 (Arms),Machine Triceps Pressdown,15,2,Yes,Triceps,,,
Jan 30 (Arms),Straight-Bar Triceps Pressdown,12,6,Yes,Triceps,,,
Jan 30 (Arms),DB Curls,10,0,Yes,Biceps,,,"Lots of cheating on final reps, so considered it failure"
Jan 30 (Arms),Single-Arm Cable Curl,9,9,Yes,Biceps,,,
Jan 30 (Arms),Straight-Bar Cable Curl,11,6,Yes,Biceps,,,Rest Pause
Jan 30 (Arms),EZ-Bar Preacher Curls,13,2,Yes,Biceps,,,
Jan 30 (Arms),EZ-Bar Preacher Curls,16,0,Yes,Biceps,,,Assisted reps
Jan 30 (Arms),Spider Curls,15,7,Yes,Biceps,,,
Jan 30 (Arms),Spider Curls,12,7,Yes,Biceps,,,
Jan 30 (Arms),DB Curls,8,1,Yes,Biceps,,,
Jan 30 (Arms),DB Curls (dropset),3,4,Yes,Biceps,,,
Jan 31 (Legs),Seated Hamstring Curls,N/A,N/A,Yes,Hamstrings,,,
Jan 31 (Legs),Seated Hamstring Curls,6,6,Yes,Hamstrings,,,
Jan 31 (Legs),Seated Hamstring Curls,6,9,Yes,Hamstrings,,,
Jan 31 (Legs),Seated Hamstring Curls,5,12,Yes,Hamstrings,,,
Jan 31 (Legs),Single-Leg Leg Extensions,7,9,Yes,Quads,,,
Jan 31 (Legs),Single-Leg Leg Extensions,5,12,Yes,Quads,,,
Jan 31 (Legs),Barbell Squats,12,0,No,Quads,Glutes,,multiple rest pauses. RIR 0 most likely
Jan 31 (Legs),Barbell Squats,8,0,No,Quads,Glutes,,
Jan 31 (Legs),Leg Extensions,8,5,Yes,Quads,,,
Jan 31 (Legs),Sissy Squats (dropset),0,11,Yes,Quads,,,
Jan 31 (Legs),Single-Leg Leg Extensions,N/A,N/A,Yes,Quads,,,alternating five reps each leg until done
Jan 31 (Legs),Sissy Squats (dropset),N/A,N/A,Yes,Quads,,,
Jan 31 (Legs),Single-Leg Leg Extensions,10,5,Yes,Quads,,,
Jan 31 (Legs),Sissy Squats (dropset),0,10,Yes,Quads,,,
Jan 31 (Legs),Single-Leg Leg Extensions,N/A,N/A,Yes,Quads,,,
Jan 31 (Legs),Sissy Squats (dropset),0,8,Yes,Quads,,,
Feb 1 (Chest),Incline Barbell Bench Press,3,11,Yes,Chest,Front Delts,Triceps,
Feb 1 (Chest),Incline Barbell Bench Press,3,8,Yes,Chest,Front Delts,Triceps,
Feb 1 (Chest),Machine Chest Press,9,4,Yes,Chest,Front Delts,Triceps,
Feb 1 (Chest),Machine Chest Press,8,4,Yes,Chest,Front Delts,Triceps,
Feb 1 (Chest),Machine Chest Press,N/A,N/A,Yes,Chest,Front Delts,Triceps,
Feb 1 (Chest),Machine Chest Press (dropset),N/A,N/A,Yes,Chest,Front Delts,Triceps,
Feb 1 (Chest),Bent-Over Cable Chest Press,8,9,Yes,Chest,Front Delts,Triceps,
Feb 1 (Chest),Cable Flyes,15,10,Yes,Chest,,,
Feb 1 (Chest),Cable Flyes,12,7,Yes,Chest,,,
Feb 1 (Chest),Bent-Over Cable Flyes (dropset),5,6,Yes,Chest,,,
Feb 2 (Calves),Seated Calf Raises,N/A,N/A,Yes,Calves,,,
Feb 2 (Calves),Seated Calf Raises,0,14,Yes,Calves,,,
Feb 2 (Calves),Seated Calf Raises,0,15,Yes,Calves,,,
Feb 2 (Calves),Seated Calf Raises,N/A,N/A,Yes,Calves,,,
Feb 2 (Calves),Single-Leg Seated Calf Raises,N/A,N/A,Yes,Calves,,,
Feb 2 (Calves),Single-Leg Seated Calf Raises,N/A,N/A,Yes,Calves,,,
Feb 3 (Back),Single-Arm Cable Lat Pullover,11,17,Yes,Lats,,,
Feb 3 (Back),Single-Arm Cable Lat Pullover,4,11,Yes,Lats,,,
Feb 3 (Back),Neutral-Grip Cable Row,4,14,Yes,Lats,Upper Back,,
Feb 3 (Back),Cable Row,7,8,Yes,Lats,Upper Back,,
Feb 3 (Back),Cable Row (dropset),0,5,Yes,Lats,Upper Back,,
Feb 3 (Back),Machine Pulldowns,19,0,Yes,Lats,,,assisted
Feb 3 (Back),Machine Pulldowns,18,1,Yes,Lats,,,
Feb 3 (Back),Chest-Supported Machine Rows,3,10,Yes,Lats,Upper Back,,
Feb 3 (Back),Chest-Supported Machine Rows,8,9,Yes,Lats,Upper Back,,
Feb 5 (Arms),Triceps Pressdown,15,10,Yes,Triceps,,,
Feb 5 (Arms),DB Curls,11,2,Yes,Biceps,,,
Feb 5 (Arms),Triceps Pressdown,11,9,Yes,Triceps,,,
Feb 5 (Arms),DB Curls,N/A,N/A,N/A,Biceps,,,
Feb 5 (Arms),Long Rope Triceps Pressdown,7,12,Yes,Triceps,,,
Feb 5 (Arms),EZ-Bar Preacher Curls,9,6,Yes,Biceps,,,
Feb 5 (Arms),Long Rope Triceps Pressdown,6,16,Yes,Triceps,,,
Feb 5 (Arms),EZ-Bar Preacher Curls,12,4,Yes,Biceps,,,
Feb 5 (Arms),Long Rope Triceps Pressdown,4,10,Yes,Triceps,,,
Feb 5 (Arms),Straight-Bar Triceps Pressdown (superset),1,15,Yes,Triceps,,,
Feb 5 (Arms),EZ-Bar Preacher Curls,9,6,Yes,Biceps,,,
Feb 6 (Back),Single-Arm Cable Lat Pullover,8,9,Yes,Lats,,,
Feb 6 (Back),Single-Arm Cable Lat Pullover,5,8,Yes,Lats,,,
Feb 6 (Back),High Row,11,7,Yes,Lats,Upper Back,,
Feb 6 (Back),High Row,6,12,Yes,Lats,Upper Back,,Rest Pause
Feb 6 (Back),High Row,4,9,Yes,Lats,Upper Back,,
Feb 6 (Back),Lat Pulldown,6,9,Yes,Lats,,,
Feb 6 (Back),Low-Cable Rope Row,6,9,Yes,Lats,Upper Back,,
Feb 6 (Back),Lat Pulldown (superset),3,5,Yes,Lats,,,
Feb 7 (Arms),Triceps Pressdown,13,2,Yes,Triceps,,,
Feb 7 (Arms),DB Curls,10,0,Yes,Biceps,,,"Lots of cheating on final reps, so considered it failure"
Feb 7 (Arms),Triceps Pressdown,8,11,Yes,Triceps,,,
Feb 7 (Arms),DB Curls,9,0,Yes,Biceps,,,"Lots of cheating on final reps, so considered it failure"
Feb 7 (Arms),Triceps Pressdown,2,14,Yes,Triceps,,,
Feb 7 (Arms),Single-Arm DB Preacher Curl,12,3,Yes,Biceps,,,
Feb 7 (Arms),Triceps Pressdown,1,13,Yes,Triceps,,,
Feb 7 (Arms),DB Concentration Curls,8,8,Yes,Biceps,,,
Feb 7 (Arms),Triceps Pressdown,4,17,Yes,Triceps,,,
Feb 7 (Arms),EZ-Bar Curl,7,7,Yes,Biceps,,,
Feb 7 (Arms),Single-Arm Triceps Pressdown,8,11,Yes,Triceps,,,
Feb 7 (Arms),EZ-Bar Curl,2,17,Yes,Biceps,,,
Feb 7 (Arms),Triceps Pressdown,6,7,Yes,Triceps,,,
Feb 7 (Arms),Triceps Pressdown (dropset),3,5,Yes,Triceps,,,
Feb 7 (Arms),DB Curls,6,3,Yes,Biceps,,,
